C:\Users\HP\Downloads\simulator-windows-64\IMG\center_2025_07_16_15_37_31_874.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\left_2025_07_16_15_37_31_874.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\right_2025_07_16_15_37_31_874.jpg,0,0,0,7.86E-05
C:\Users\HP\Downloads\simulator-windows-64\IMG\center_2025_07_16_15_37_31_979.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\left_2025_07_16_15_37_31_979.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\right_2025_07_16_15_37_31_979.jpg,0,0,0,7.81E-05
C:\Users\HP\Downloads\simulator-windows-64\IMG\center_2025_07_16_15_37_32_080.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\left_2025_07_16_15_37_32_080.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\right_2025_07_16_15_37_32_080.jpg,0,0,0,7.79E-05
C:\Users\HP\Downloads\simulator-windows-64\IMG\center_2025_07_16_15_37_32_181.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\left_2025_07_16_15_37_32_181.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\right_2025_07_16_15_37_32_181.jpg,0,0,0,7.80E-05
C:\Users\HP\Downloads\simulator-windows-64\IMG\center_2025_07_16_15_37_32_282.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\left_2025_07_16_15_37_32_282.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\right_2025_07_16_15_37_32_282.jpg,0,0,0,7.80E-05
C:\Users\HP\Downloads\simulator-windows-64\IMG\center_2025_07_16_15_37_32_387.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\left_2025_07_16_15_37_32_387.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\right_2025_07_16_15_37_32_387.jpg,0,0,0,7.79E-05
C:\Users\HP\Downloads\simulator-windows-64\IMG\center_2025_07_16_15_37_32_494.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\left_2025_07_16_15_37_32_494.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\right_2025_07_16_15_37_32_494.jpg,0,0,0,7.80E-05
C:\Users\HP\Downloads\simulator-windows-64\IMG\center_2025_07_16_15_37_32_595.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\left_2025_07_16_15_37_32_595.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\right_2025_07_16_15_37_32_595.jpg,0,0,0,7.80E-05
C:\Users\HP\Downloads\simulator-windows-64\IMG\center_2025_07_16_15_37_32_702.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\left_2025_07_16_15_37_32_702.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\right_2025_07_16_15_37_32_702.jpg,0,0,0,7.86E-05
C:\Users\HP\Downloads\simulator-windows-64\IMG\center_2025_07_16_15_37_32_802.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\left_2025_07_16_15_37_32_802.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\right_2025_07_16_15_37_32_802.jpg,0,0,0,8.22E-05
